[04/03/20 09:47:36.521][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681807, Latitude:115292008, Altitude:1334, CarAngle:158.500000
[04/03/20 09:47:36.533][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681802, Latitude:115292010, Altitude:1334, CarAngle:158.500000
[04/03/20 09:47:36.544][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681800, Latitude:115292011, Altitude:1334, CarAngle:158.500000
[04/03/20 09:47:36.556][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681794, Latitude:115292013, Altitude:1334, CarAngle:158.600006
[04/03/20 09:47:36.566][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681794, Latitude:115292013, Altitude:1334, CarAngle:158.600006
[04/03/20 09:47:36.577][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681794, Latitude:115292013, Altitude:1334, CarAngle:158.600006
[04/03/20 09:47:36.587][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681785, Latitude:115292016, Altitude:1334, CarAngle:158.600006
[04/03/20 09:47:36.598][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681779, Latitude:115292018, Altitude:1333, CarAngle:158.600006
[04/03/20 09:47:36.609][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681779, Latitude:115292018, Altitude:1333, CarAngle:158.600006
[04/03/20 09:47:36.620][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681771, Latitude:115292021, Altitude:1333, CarAngle:158.699997
[04/03/20 09:47:36.634][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681771, Latitude:115292021, Altitude:1333, CarAngle:158.699997
