[04/04/20 22:01:17.027][I][3522][3522][KHighAccuracyData_ByNDS_Plugin.cpp][PrintNDSDataInfo] data version:NDS-2.5.1,LANEAUX-1.8,LANDMARK-1.3. compiler version:KMCompilerV3.11.2. creation datatime:2019-12-28 10:33:35
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Distance Threshold:20.000000
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Altitude Threshold:2.000000
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Angle Threshold:181.000000
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Log:0
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Use Altitude:1
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Dis2RouteThreshold:2.000000
[04/04/20 22:01:22.543][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353513, Latitude:113801435, Altitude:2516, CarAngle:134.500000
[04/04/20 22:01:22.567][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353503, Latitude:113801443, Altitude:2516, CarAngle:134.600006
[04/04/20 22:01:22.581][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353499, Latitude:113801446, Altitude:2516, CarAngle:134.600006
[04/04/20 22:01:22.596][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353496, Latitude:113801449, Altitude:2516, CarAngle:134.600006
[04/04/20 22:01:22.611][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353492, Latitude:113801452, Altitude:2516, CarAngle:134.600006
[04/04/20 22:01:22.628][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353489, Latitude:113801455, Altitude:2516, CarAngle:134.600006
[04/04/20 22:01:22.638][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353486, Latitude:113801458, Altitude:2516, CarAngle:134.600006
[04/04/20 22:01:22.657][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353482, Latitude:113801461, Altitude:2516, CarAngle:134.600006
[04/04/20 22:01:22.668][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353479, Latitude:113801464, Altitude:2515, CarAngle:134.600006
[04/04/20 22:01:22.695][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353475, Latitude:113801467, Altitude:2515, CarAngle:134.600006
