[03/22/20 19:57:59.524][I][7761][7761][KHighAccuracyData_ByNDS_Plugin.cpp][PrintNDSDataInfo] data version:NDS-2.5.1,LANEAUX-1.8,LANDMARK-1.3. compiler version:KMCompilerV3.11.2. creation datatime:2020-01-07 14:27:09
[03/22/20 19:58:05.254][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663453,Lat:115319741
[03/22/20 19:58:05.285][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663455,Lat:115319741
[03/22/20 19:58:05.302][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663457,Lat:115319742
[03/22/20 19:58:05.315][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663457,Lat:115319742
[03/22/20 19:58:05.325][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663458,Lat:115319742
[03/22/20 19:58:05.340][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663459,Lat:115319742
[03/22/20 19:58:05.439][I][7761][7761][KRoutePlan.cpp][PlanSingleRoute] Enter KRoutePlan::PlanSingleRoute
[03/22/20 19:58:05.444][I][7761][7761][KHaPlace.cpp][matchHAPlace] KHaPlace::(446663467,115319745),level=31,carAngle=18, RvId=2392467955498681173(557039854,66389) RsId=1 LaneId=2 GridId=1
[03/22/20 19:58:05.484][I][7761][7761][KHaPlace.cpp][matchHAPlace] KHaPlace::(446731841,115248772),level=0,carAngle=2147483647, RvId=2392467951203713044(557039853,65556) RsId=1 LaneId=2 GridId=1
[03/22/20 19:58:05.520][I][7761][7761][KHaPlace.cpp][matchHAPlace] KHaPlace::(446690859,115260847),level=0,carAngle=2147483647, RvId=2392467946908745740(557039852,65548) RsId=1 LaneId=2 GridId=1
[03/22/20 19:58:05.524][I][7761][7761][KHaPlace.cpp][matchHAPlace] KHaPlace::(446695119,115282320),level=0,carAngle=2147483647, RvId=2392467955498681364(557039854,66580) RsId=1 LaneId=2 GridId=1
